0,1,2,3,4,5,6,OT,forecast_96,residuals_96,forecast_192,residuals_192,forecast_336,residuals_336,forecast_720,residuals_720
0.7855,1.611,0.861698,0.634196,0.211242,0.006838,0.525486,0.593,,-0.06068887265872103,,-0.059814839074610826,,-0.059268178567202234,,-0.056903083621208994
0.7818,1.61,0.861104,0.633513,0.211242,0.006863,0.523972,0.594,,0.0012136661991071218,,0.0012182173738414237,,0.0012050601035498154,,0.0012845755889177024
0.7867,1.6293,0.86103,0.648508,0.211242,0.006975,0.526316,0.5973,,0.0035180676209640716,,0.0035227555322511206,,0.0035094520221270464,,0.0035923975297051935
0.786,1.637,0.862069,0.650618,0.211242,0.006953,0.523834,0.597,,-9.646228503989995e-05,,-9.232007177739643e-05,,-0.00010448965458431658,,-3.13971790643075e-05
0.7849,1.653,0.861995,0.656254,0.211242,0.00694,0.527426,0.5985,,0.0016941546273383512,,0.001698253548283457,,0.0016865377532743198,,0.0017556882776784688
0.7866,1.6537,0.86103,0.654879,0.211242,0.006887,0.526177,0.604,,0.005707584566167823,,0.005711058117415901,,0.005699363129291313,,0.005762309744909877
0.7886,1.662,0.862887,0.661157,0.211242,0.006885,0.527565,0.607,,0.0032275534648892323,,0.0032311571315937204,,0.0032193212924406245,,0.003283184618310342
0.791,1.6568,0.864304,0.659631,0.211242,0.006878,0.527565,0.6084,,0.0016282864190829693,,0.0016317070414615387,,0.0016203371657629306,,0.0016784707678418886
0.7939,1.6695,0.86423,0.66912,0.211242,0.006878,0.528123,0.6115,,0.0033305409522258467,,0.003334143594532324,,0.0033224907103678314,,0.003383427540553985
0.7894,1.657,0.858369,0.659413,0.211242,0.006874,0.528123,0.609,,-0.0022760652477544774,,-0.0022727139727739543,,-0.0022830839162621963,,-0.002233552958703644
0.7917,1.6495,0.859107,0.663702,0.211242,0.006873,0.529381,0.612,,0.003241712998195867,,0.003245210845790103,,0.003234054646043316,,0.003291970151856116
0.7941,1.6445,0.853752,0.658545,0.211242,0.006844,0.529101,0.614,,0.0022384396358416936,,0.0022422452891578404,,0.0022321038776361712,,0.0022845557675836847
0.7935,1.6465,0.848176,0.660284,0.211242,0.006866,0.532765,0.6106,,-0.0031430805704891762,,-0.003139221637995515,,-0.003149646619276081,,-0.003094191091803422
0.7954,1.639,0.845309,0.652742,0.211242,0.006829,0.532056,0.6118,,0.0014572847854614768,,0.0014607334809471073,,0.0014508861066651058,,0.0015003320026095723
0.7751,1.649,0.848896,0.66313,0.211242,0.006845,0.53135,0.6052,,-0.006325208969818474,,-0.006321613439410512,,-0.006332275455156577,,-0.006276050619235751
0.7622,1.655,0.843526,0.668226,0.211242,0.006881,0.533049,0.5915,,-0.013451738109876543,,-0.013448200429442836,,-0.013456825825842844,,-0.013415375041340494
0.7583,1.6572,0.839983,0.672043,0.211242,0.006924,0.532623,0.5945,,0.0032120806546714897,,0.003215141285897949,,0.0032085968617129312,,0.0032339611497508303
0.7605,1.657,0.837591,0.667557,0.211242,0.006976,0.534188,0.5928,,-0.0014799520869203109,,-0.0014768588545884809,,-0.0014827471312739426,,-0.0014594872110373913
0.7635,1.678,0.841397,0.672948,0.211242,0.006987,0.535045,0.595,,0.0024282495397940362,,0.002431066095230028,,0.002423895869349768,,0.0024559392357454968
0.766,1.6818,0.839913,0.670691,0.211242,0.00694,0.537201,0.597,,0.0022310047622889906,,0.002233222982707228,,0.0022253889090880774,,0.002256507394425511
0.7685,1.6794,0.843313,0.664894,0.211242,0.006918,0.536481,0.602,,0.00525209289077333,,0.005254027199585676,,0.005245544681907632,,0.005277548501612217
0.7702,1.6815,0.842886,0.667468,0.211242,0.006901,0.536193,0.5983,,-0.003423660089308278,,-0.003421574969746932,,-0.003431841635467725,,-0.0033873500368304388
0.7735,1.6817,0.841255,0.668003,0.211242,0.006879,0.535475,0.6003,,0.002255155754274152,,0.0022571605632909497,,0.0022479147828355917,,0.0022841266315962727
0.7655,1.695,0.840407,0.675584,0.211242,0.006878,0.535906,0.5998,,-0.00024310236037594635,,-0.00024104470549812795,,-0.0002498913596975516,,-0.00021629094391883985
0.7665,1.702,0.841822,0.677094,0.211242,0.00689,0.538503,0.601,,0.001454953743627918,,0.001456701624393375,,0.0014490233947782594,,0.0014721241558632858
0.7575,1.699,0.837872,0.674992,0.211242,0.006874,0.537779,0.5936,,-0.0071346858051661854,,-0.007133281318034479,,-0.007141645204159053,,-0.007116962756449685
0.7545,1.687,0.835352,0.668986,0.211242,0.006878,0.536769,0.5915,,-0.0018470031751747218,,-0.0018456175253437346,,-0.0018530955524926895,,-0.001833847220623852
0.7493,1.6925,0.8364,0.668003,0.211242,0.006887,0.536337,0.593,,0.0017556020740534528,,0.0017572903215595792,,0.0017495626156193156,,0.001774095157902833
0.7521,1.695,0.83167,0.668539,0.211242,0.006935,0.536625,0.5926,,-0.00012952209614813803,,-0.00012794379791092325,,-0.00013648505719776605,,-0.00010677395836822257
0.7521,1.6905,0.833403,0.668003,0.211242,0.006925,0.535906,0.5925,,0.0001696132346817869,,0.00017098720041108795,,0.0001625683938408784,,0.0001923022753504977
0.7457,1.696,0.828638,0.670107,0.211242,0.006931,0.536625,0.5815,,-0.010735435500651036,,-0.010733846750733744,,-0.010742154446655383,,-0.010712118147717109
0.75,1.693,0.829187,0.668673,0.211242,0.006925,0.536193,0.585,,0.0037350420433793774,,0.0037362086391969918,,0.003729359480089678,,0.0037471859691222686
0.7567,1.6955,0.834028,0.669568,0.211242,0.006937,0.535045,0.5883,,0.003543201855782163,,0.003544518865218116,,0.0035372547528378373,,0.0035588604209130237
0.7595,1.704,0.831947,0.673401,0.211242,0.006875,0.537634,0.5898,,0.0017392659837992541,,0.0017406671936954776,,0.001732735325419843,,0.0017588949090467931
0.7586,1.715,0.832432,0.678104,0.211242,0.006881,0.537346,0.5887,,-0.0008523520070661261,,-0.0008513196558099789,,-0.0008585114832438956,,-0.000842477023876631
0.7646,1.7147,0.83717,0.679117,0.211242,0.006854,0.536481,0.5897,,0.001237760173381508,,0.001238513770839278,,0.0012318603661188865,,0.001241983815788883
0.7652,1.71,0.835422,0.677048,0.211242,0.006806,0.535906,0.5902,,0.0007258584610237984,,0.0007267552849111736,,0.0007200931636597296,,0.0007293836846561375
0.765,1.693,0.834725,0.672495,0.211242,0.006718,0.536193,0.5882,,-0.0017701164362255994,,-0.0017690583203301413,,-0.0017753566101172957,,-0.0017682345043306125
0.7605,1.692,0.83696,0.674172,0.211242,0.006728,0.536049,0.5877,,-0.0002726812447421123,,-0.0002711515045878965,,-0.0002766882774468682,,-0.0002737256053131354
0.7601,1.6892,0.838715,0.670466,0.211242,0.00672,0.535619,0.588,,0.0005235255525122273,,0.0005251735474151031,,0.0005198333657548959,,0.0005221735888069068
0.7635,1.665,0.840195,0.664011,0.211242,0.006681,0.533333,0.5872,,-0.000569783349809394,,-0.0005680469564489643,,-0.0005742313025899337,,-0.00056573015978989
0.7596,1.651,0.837521,0.66072,0.211242,0.006654,0.533333,0.5884,,0.0014179438035869518,,0.0014205297366308711,,0.001414643839217078,,0.0014265812701409475
0.7585,1.6388,0.839913,0.666667,0.211242,0.006676,0.534045,0.5878,,-0.000370358339399246,,-0.0003673365958500874,,-0.0003728188875202765,,-0.00036033442823824036
