% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 5-24,ILITOTAL,NUM. OF PROVIDERS,OT,forecast_24,residuals_24,forecast_36,residuals_36,forecast_48,residuals_48,forecast_60,residuals_60
1.22262,1.16668,582,805,2060,754,176569,,-455871.11995764705,,-442859.107650136,,-435733.37978452083,,-429468.63435831177
1.33344,1.2165,683,872,2267,785,186355,,4766.129432240647,,4153.787871338311,,2982.191389355896,,2728.4536599899875
1.31929,1.13057,642,878,2176,831,192469,,1249.6581125688099,,744.1125030790281,,1374.8188405293622,,2461.5647192295874
1.49484,1.25246,728,1045,2599,863,207512,,107.91623108409112,,-2792.125370517635,,886.8369129134808,,1966.0827955797722
1.47195,1.30237,823,1189,2907,909,223208,,15524.070260971144,,15211.885878740286,,17954.709486637614,,15924.193957163196
1.58094,1.40551,887,1272,3225,930,229454,,1299.1775650229538,,141.40228657337138,,4955.237216868525,,4493.55326842083
1.49426,1.38437,851,1173,3097,923,223712,,-7326.476397528313,,-8548.44324134197,,-4113.328260937298,,-6279.209621366841
1.40569,1.32563,802,1166,2967,922,223818,,-5620.919851069571,,-6819.4493185542815,,-2247.2148974071897,,-4176.533266378625
1.6141,1.43475,834,978,2709,918,188814,,-38479.96420765703,,-39773.766022034455,,-37317.650666452886,,-36004.66006846845
1.45967,1.25433,857,1117,3049,937,243078,,39077.47129792062,,40726.29606976721,,40809.52685749877,,38967.19919780118
1.59896,1.25757,804,1179,2957,928,235136,,-4674.243695392099,,-5499.505526943598,,4469.04879168942,,7292.50879953074
2.16697,1.58017,951,1404,3416,908,216179,,-22635.706964066805,,-20727.1154713532,,-22424.98886453398,,-7912.054319286166
2.57842,1.98008,915,937,2857,865,144287,,-79651.2212836335,,-75487.94047502201,,-74610.79769753944,,-74519.14405847655
2.38636,1.90428,1028,1019,3260,879,171193,,4137.420921690908,,2403.624766436289,,8822.878439769149,,-8891.07508099178
1.7362099999999998,1.5901,1068,1296,3729,926,234513,,55103.888080816105,,50316.38606893184,,62185.208789322176,,53699.947762495256
2.06296,1.81559,1154,1798,4204,902,231550,,4357.1722121411,,1620.4146749886277,,7377.69281396101,,21629.35999995988
2.58113,2.41801,1373,2998,5696,927,235566,,12299.645421433554,,18726.480420458654,,8403.573119852663,,24003.813853691187
2.93909,2.86635,1411,4064,7079,884,246969,,12565.432401592261,,17637.7160112891,,14038.103649290657,,7923.702277265751
3.22539,3.16662,1606,4447,7782,889,245751,,14150.966221264534,,13973.37940553471,,14158.703727093933,,1873.5235105616157
3.06982,3.0155,1568,4224,7649,903,253656,,11988.327728781383,,13906.992716251349,,6860.166271412134,,5656.325407314842
3.20044,2.9978,1694,3689,7228,871,241110,,-23269.015555762628,,-25570.3926352344,,-24481.407365964027,,-26430.903725515993
2.44888,2.31957,1336,2583,5606,857,241683,,-3411.5090816157463,,-610.3547527290648,,-7532.308215697296,,-2179.5416370786843
2.1344,1.94707,1015,2103,4450,839,228549,,-38593.50734093244,,-39421.065153578296,,-37094.228583244025,,-28628.180979136494
1.99866,1.72985,880,1669,3810,835,220250,,-18848.39804264056,,-15267.144094873249,,-28299.157251974597,,-16183.885861203278
1.93849,1.51837,737,1321,2987,795,196724,,-38682.666824097454,,-28529.906412557408,,-36825.417721730686,,-32753.87524920932
1.41293,1.22616,624,1016,2439,775,198913,,-14517.000484398799,,-10679.807445811777,,-15907.782873762306,,-10161.469407730416
1.23472,1.05433,506,846,2028,741,192349,,-13269.346618223819,,-13067.464204479445,,-11189.941874184617,,-7556.709937375475
1.20005,1.07108,569,799,2082,735,194383,,1962.6734703163384,,3634.889435730758,,-1353.7192461891973,,7903.869444067532
